name,rating,price,address
Tragaluz,4.2,€€€,"Passatge de la Concepció, 5, Barcelona"
La Caleta de Gràcia,4.4,€,"Carrer del Torrent de l'Olla, 121, Barcelona"
Balthazar,4.4,€€,"Carrer del Rosselló, 189, Barcelona"
Kibuka | Gràcia,4.4,€€,"Calle de Goya, 9, Barcelona"
Can Xurrades,4.5,€€€,"Carrer de Casanova, 212, Barcelona"
Restaurant Jardí de l'Ànima,4.2,N/A,"Calle de Mallorca, 271, Barcelona"
Boca Grande,4.1,€€€,"Passatge de la Concepció, 12, Barcelona"
Volubilis Restaurant,4.4,€€,"Carrer de Tamarit, 151, Barcelona"
9Reinas | Diagonal,4.6,€€€,"Carrer de València, 267, Barcelona"
Bar Mut,4.1,€€€,"Carrer de Pau Claris, 192, Barcelona"
El Bierzo a Tope,4.1,€,"Carrer de la Diputació, 159, Barcelona"
Maitea | Casanova,4.3,€€,"Carrer de Casanova, 155, Barcelona"
Txapela | Passeig de Gràcia,3.9,€€,"Passeig de Gràcia, 58, Barcelona"
Hotel Miramar Barcelona,4.3,N/A,"Plaça de Carlos Ibáñez, 3, Barcelona"
Xup Xup Restaurant,4.3,€€,"Passeig Marítim de la Barceloneta, s/n, Barcelona"
Barro,3.5,€€,"Carrer de la Vila Joiosa, 52, Barcelona"
El Xalet de Montjuïc,4.1,€€€,"Avinguda Miramar, 31, Barcelona"
La Fonda del Port Olímpic,4.2,€€,"Carrer de Pepe Rubianes, 34, Barcelona"
Barceloneta restaurant,4.4,€€€,"Moll dels Pescador, Port Vell, Carrer de l'Escar, 22, Barcelona"
Can Ramonet,4.3,€€,"Carrer de la Maquinista, 17, Barcelona"
Grums Hotel & Spa,4.1,N/A,"Carrer de Palaudàries, 26, Barcelona"
ACQUA&FARINA,4.5,€,"Carrer de la Maquinista, 52, Barcelona"
Les Quinze Nits,4.2,€€,"Plaça Reial, 6, Barcelona"
Pez Vela,4.1,€€€,"Passeig del Mare Nostrum, 19, 21, Barcelona"
El Xampanyet,4.7,€€,"Carrer de Montcada, 22, Barcelona"
Cal Pep,4.4,€€€,"Plaça de les Olles, 8, Barcelona"
Ocaña,4.6,€€,"Plaça Reial, 13-15, Barcelona"
Mi Burrito y Yo,4.1,€€,"Carrer del Pas de l'Ensenyança, 2, Barcelona"
Irati Taverna Basca,4.5,€€,"Carrer del Cardenal Casañas, 17, Barcelona"
Cera 23,4.8,€€,"Carrer de la Cera, 23, Barcelona"
Suculent,4.5,€€€,"Rambla del Raval, 45, Barcelona"
La Mar Salada Restaurant,4.3,€€,"Passeig de Joan de Borbó, 58, 59, Barcelona"
El Bosc de Les Fades,4.4,€€,"Passatge de la Banca, 7, Barcelona"
Quimet & Quimet,4.6,€€,"Carrer del Poeta Cabanyes, 25, Barcelona"
La Cova Fumada,4.6,€€,"Carrer del Baluard, 56, Barcelona"
Taller de Tapes | Born,4.5,€€,"Carrer de l'Argenteria, 51, Barcelona"
Restaurant Can Ros,4.4,€€,"C/ d'Emília Llorca Martín 7, Carrer d'Emília Llorca Martín, 7, Barcelona"
Euskal Etxea Taberna,4.2,€€,"Placeta de Montcada, 1, Barcelona"
Sallés Hotel Pere IV,4,N/A,"Carrer de Pallars, 128, Barcelona"
Hotel Best 4 Barcelona,4,N/A,"Carrer del Doctor Trueta, 164, Barcelona"
Hotel ILUNION Barcelona,4.2,N/A,"Carrer de Ramon Turró, 196, 198, Barcelona"
Palau de Xina,3.6,€,"Carrer de la Marina, 87, Barcelona"
Bona Sort Sushi,4.2,€,"Carrer de la Marina, 191, Barcelona"
L'Escamarlà,3.8,€€,"Passeig Marítim del Bogatell, 40, Barcelona"
Els Porxos | Seafood & Mediterranean Restaurant en Sagrada Família,4.3,N/A,"Carrer de Mallorca, 410, Eixample"
Racó de la Vila,4.3,€€,"Carrer de la Ciutat de Granada, 33, Barcelona"
Ginos,4.2,€€,"CC Glòries, Avinguda Diagonal, 220, Barcelona"
Chen Ji,4.3,€,"Carrer d'Alí Bei, 65, Barcelona"
Bardeni el meatbar - Caldeni,4.6,€€€,"Carrer de València, 454, Barcelona"
La Mar Bella,3.9,€,"Carrer del Taulat, 81, Barcelona"
L'Ovella Negra | Marina,4.2,€,"Carrer de Zamora, 78, Barcelona"
Foster's Hollywood | Glòries,4.4,€€,"Centro comercial Glories, Avinguda Diagonal, 208, Barcelona"
Aguaribay,4.4,€€,"Carrer de Galceran Marquet, 1, Barcelona"
Antonio's,4.6,€,"Carrer de Badajoz, 44, bajos, Barcelona"
Els Tres Porquets,4.4,€€€,"Rambla del Poblenou, 165, Barcelona"
"Els ""Pollos"" de Llull | Sant Martí",4,€,"Carrer de Ramon Turró, 13, Barcelona"
Las Mañanitas,4.3,€€,"Gran Via de les Corts Catalanes, 715, Barcelona"
Restaurant Xinès,4.4,€,"Avinguda Diagonal, 145, Barcelona"
Burger King,3.3,€,"Avinguda Diagonal, 208, Barcelona"
Restaurant Parrilla Alfonsina,4.6,€€,"Carrer de la Diputació, 379, Barcelona"
Melocomo - Osteria188,4.6,€€,"Carrer de Pujades, 188, Barcelona"
Sonora Sport Tavern,4.2,€,"Carrer de Pamplona, 96, Barcelona"
Bar Refugio Los 33,4.4,€,"Plaça del Mercat, 19, Barcelona"
Virona Restaurant - Pizzeria - Fusion Kitchen,4.2,€,"Carrer de la Diputació, 381, Barcelona"
Can Pineda,4.6,€€€,"Carrer de Sant Joan de Malta, 55, Barcelona"
Gorría Restaurant,4.6,€€€,"Carrer de la Diputació, 421, Barcelona"
Nakashita Born,4.2,€€,"Carrer del Rec Comtal, 15, Barcelona"
Picnic,4.4,€€,"Carrer del Comerç, 1, Barcelona"
Els Pescadors de Barcelona - Restaurante de Alta Cocina Marinera,4,€€€,"Plaça de Prim, 1, Barcelona"
KFC,4.2,€,"Avinguda de Gaudí, 2, Barcelona"
Starbucks Barcelona Sagrada familia,3.6,€€,"Plaça de la Sagrada Família, 19, Barcelona"
Neko Sushi Pujades Take-away & Delivery,4.6,N/A,"Carrer de Pujades, 121, Barcelona"
UDON Glòries,4.1,€€,"Westfield Glòries, Avenida Diagonal, 208, C.C, Barcelona"
McDonald's,3.5,€,"Carrer de Provença, 427, 431, Barcelona"
Xiringuito Escribà,4.2,€€€,"Avinguda del Litoral, 62, Barcelona"
4uatre LOUNGE,4.2,€€,"Rambla del Poblenou, 63, Barcelona"
Michael Collins,4.2,€€,"Plaça de la Sagrada Família, 4, Barcelona"
Restaurant Prince a la Turca - HALAL FOOD,4,€,"Carrer de la Marina, 66, Barcelona"
La Bona Pinta,4.5,€€,"Carrer de la Diputació, 433, Barcelona"
